#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2020-02-07, 13:10:44
# Real time (s): 526.195
# Live time (s): 300.000
#
# Total counts:  36300972
#
# Left marker:  237 (458.873 keV)
# Right marker: 274 (534.434 keV)
# Counts:  76200
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -25.120346
#     A1: 2.042167
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy	counts	rate
#-----------------------------------------------------------------------
863	1737.270	1	0.00333333
864	1739.312	4	0.0133333
865	1741.354	5	0.0166667
866	1743.397	3	0.01
867	1745.439	3	0.01
868	1747.481	1	0.00333333
869	1749.523	4	0.0133333
870	1751.565	1	0.00333333
871	1753.607	4	0.0133333
872	1755.650	2	0.00666667
873	1757.692	3	0.01
874	1759.734	1	0.00333333
875	1761.776	2	0.00666667
876	1763.818	2	0.00666667
877	1765.860	3	0.01
878	1767.903	2	0.00666667
879	1769.945	0	0
880	1771.987	2	0.00666667
881	1774.029	0	0
882	1776.071	2	0.00666667
883	1778.113	1	0.00333333
884	1780.156	2	0.00666667
885	1782.198	2	0.00666667
886	1784.240	0	0
887	1786.282	2	0.00666667
888	1788.324	0	0
889	1790.366	2	0.00666667
890	1792.409	2	0.00666667
891	1794.451	1	0.00333333
892	1796.493	0	0
893	1798.535	0	0
894	1800.577	3	0.01
895	1802.619	0	0
896	1804.662	1	0.00333333
897	1806.704	1	0.00333333
898	1808.746	3	0.01
899	1810.788	1	0.00333333
900	1812.830	1	0.00333333
901	1814.873	2	0.00666667
902	1816.915	1	0.00333333
903	1818.957	3	0.01
904	1820.999	2	0.00666667
905	1823.041	1	0.00333333
906	1825.083	4	0.0133333
907	1827.126	0	0
908	1829.168	2	0.00666667
909	1831.210	2	0.00666667
910	1833.252	4	0.0133333
911	1835.294	0	0
912	1837.336	3	0.01
913	1839.379	2	0.00666667
914	1841.421	1	0.00333333
915	1843.463	2	0.00666667
916	1845.505	2	0.00666667
917	1847.547	1	0.00333333
918	1849.589	2	0.00666667
919	1851.632	2	0.00666667
920	1853.674	1	0.00333333
921	1855.716	4	0.0133333
922	1857.758	1	0.00333333
923	1859.800	1	0.00333333
924	1861.842	3	0.01
925	1863.885	2	0.00666667
926	1865.927	4	0.0133333
927	1867.969	0	0
928	1870.011	5	0.0166667
929	1872.053	5	0.0166667
930	1874.095	2	0.00666667
931	1876.138	5	0.0166667
932	1878.180	3	0.01
933	1880.222	1	0.00333333
934	1882.264	1	0.00333333
935	1884.306	1	0.00333333
936	1886.348	3	0.01
937	1888.391	1	0.00333333
938	1890.433	4	0.0133333
939	1892.475	2	0.00666667
940	1894.517	1	0.00333333
941	1896.559	2	0.00666667
942	1898.601	3	0.01
943	1900.644	2	0.00666667
944	1902.686	0	0
945	1904.728	1	0.00333333
946	1906.770	1	0.00333333
947	1908.812	0	0
948	1910.854	1	0.00333333
949	1912.897	1	0.00333333
950	1914.939	1	0.00333333
951	1916.981	1	0.00333333
