#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2020-02-07, 13:45:52
# Real time (s): 535.027
# Live time (s): 300.000
#
# Total counts:  37448269
#
# Left marker:  237 (458.873 keV)
# Right marker: 274 (534.434 keV)
# Counts:  292
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -25.120346
#     A1: 2.042167
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy	counts	rate
#-----------------------------------------------------------------------
355	699.849	8	0.0266667
356	701.891	2	0.00666667
357	703.933	3	0.01
358	705.976	2	0.00666667
359	708.018	9	0.03
360	710.060	5	0.0166667
361	712.102	10	0.0333333
362	714.144	7	0.0233333
363	716.186	10	0.0333333
364	718.229	5	0.0166667
365	720.271	3	0.01
366	722.313	4	0.0133333
367	724.355	1	0.00333333
368	726.397	6	0.02
369	728.439	4	0.0133333
370	730.482	3	0.01
371	732.524	4	0.0133333
372	734.566	5	0.0166667
373	736.608	5	0.0166667
374	738.650	5	0.0166667
375	740.692	3	0.01
376	742.735	3	0.01
377	744.777	3	0.01
378	746.819	5	0.0166667
379	748.861	2	0.00666667
380	750.903	7	0.0233333
381	752.945	2	0.00666667
382	754.988	2	0.00666667
383	757.030	3	0.01
384	759.072	4	0.0133333
385	761.114	4	0.0133333
386	763.156	4	0.0133333
387	765.198	9	0.03
388	767.241	6	0.02
389	769.283	8	0.0266667
390	771.325	4	0.0133333
391	773.367	5	0.0166667
392	775.409	5	0.0166667
393	777.451	5	0.0166667
394	779.494	0	0
395	781.536	6	0.02
396	783.578	6	0.02
397	785.620	6	0.02
398	787.662	7	0.0233333
399	789.704	3	0.01
400	791.747	6	0.02
401	793.789	1	0.00333333
402	795.831	5	0.0166667
403	797.873	7	0.0233333
404	799.915	2	0.00666667
405	801.957	4	0.0133333
406	804.000	8	0.0266667
407	806.042	0	0
408	808.084	6	0.02
409	810.126	3	0.01
410	812.168	4	0.0133333
411	814.210	8	0.0266667
412	816.253	4	0.0133333
413	818.295	8	0.0266667
414	820.337	6	0.02
415	822.379	4	0.0133333
416	824.421	6	0.02
417	826.463	6	0.02
418	828.506	3	0.01
419	830.548	4	0.0133333
420	832.590	5	0.0166667
421	834.632	5	0.0166667
422	836.674	7	0.0233333
423	838.716	5	0.0166667
424	840.759	5	0.0166667
425	842.801	6	0.02
426	844.843	6	0.02
427	846.885	6	0.02
428	848.927	5	0.0166667
429	850.969	8	0.0266667
430	853.012	6	0.02
431	855.054	4	0.0133333
432	857.096	3	0.01
433	859.138	5	0.0166667
434	861.180	6	0.02
435	863.222	6	0.02
436	865.265	5	0.0166667
437	867.307	7	0.0233333
438	869.349	7	0.0233333
439	871.391	2	0.00666667
440	873.433	7	0.0233333
441	875.475	4	0.0133333
442	877.518	5	0.0166667
443	879.560	4	0.0133333
444	881.602	4	0.0133333
445	883.644	5	0.0166667
446	885.686	6	0.02
447	887.728	8	0.0266667
448	889.771	3	0.01
449	891.813	3	0.01
450	893.855	7	0.0233333
451	895.897	3	0.01
452	897.939	4	0.0133333
453	899.981	5	0.0166667
454	902.024	1	0.00333333
455	904.066	2	0.00666667
456	906.108	5	0.0166667
457	908.150	2	0.00666667
458	910.192	3	0.01
459	912.235	5	0.0166667
460	914.277	5	0.0166667
461	916.319	2	0.00666667
462	918.361	4	0.0133333
463	920.403	4	0.0133333
464	922.445	2	0.00666667
465	924.488	3	0.01
466	926.530	4	0.0133333
467	928.572	2	0.00666667
468	930.614	8	0.0266667
469	932.656	3	0.01
470	934.698	3	0.01
471	936.741	2	0.00666667
472	938.783	6	0.02
473	940.825	4	0.0133333
474	942.867	0	0
475	944.909	4	0.0133333
476	946.951	4	0.0133333
477	948.994	3	0.01
478	951.036	2	0.00666667
479	953.078	3	0.01
480	955.120	3	0.01
481	957.162	3	0.01
482	959.204	6	0.02
483	961.247	3	0.01
484	963.289	5	0.0166667
485	965.331	7	0.0233333
486	967.373	3	0.01
487	969.415	2	0.00666667
488	971.457	3	0.01
489	973.500	3	0.01
490	975.542	3	0.01
491	977.584	5	0.0166667
492	979.626	5	0.0166667
493	981.668	4	0.0133333
494	983.710	5	0.0166667
495	985.753	6	0.02
496	987.795	5	0.0166667
497	989.837	2	0.00666667
498	991.879	3	0.01
499	993.921	2	0.00666667
500	995.963	1	0.00333333
501	998.006	4	0.0133333
502	1000.048	3	0.01
503	1002.090	5	0.0166667
504	1004.132	5	0.0166667
505	1006.174	3	0.01
506	1008.216	4	0.0133333
507	1010.259	8	0.0266667
508	1012.301	6	0.02
509	1014.343	7	0.0233333
510	1016.385	6	0.02
511	1018.427	1	0.00333333
512	1020.469	5	0.0166667
513	1022.512	3	0.01
514	1024.554	1	0.00333333
515	1026.596	2	0.00666667
516	1028.638	2	0.00666667
517	1030.680	3	0.01
518	1032.722	4	0.0133333
519	1034.765	4	0.0133333
520	1036.807	1	0.00333333
521	1038.849	6	0.02
522	1040.891	4	0.0133333
523	1042.933	3	0.01
524	1044.975	5	0.0166667
525	1047.018	3	0.01
526	1049.060	4	0.0133333
527	1051.102	2	0.00666667
528	1053.144	1	0.00333333
529	1055.186	3	0.01
530	1057.228	5	0.0166667
531	1059.271	2	0.00666667
532	1061.313	2	0.00666667
533	1063.355	5	0.0166667
534	1065.397	7	0.0233333
535	1067.439	4	0.0133333
536	1069.481	4	0.0133333
537	1071.524	2	0.00666667
538	1073.566	4	0.0133333
539	1075.608	6	0.02
540	1077.650	2	0.00666667
541	1079.692	6	0.02
542	1081.734	4	0.0133333
543	1083.777	4	0.0133333
544	1085.819	3	0.01
545	1087.861	4	0.0133333
546	1089.903	4	0.0133333
547	1091.945	2	0.00666667
548	1093.987	6	0.02
549	1096.030	2	0.00666667
550	1098.072	3	0.01
551	1100.114	5	0.0166667
552	1102.156	2	0.00666667
553	1104.198	4	0.0133333
554	1106.240	5	0.0166667
555	1108.283	4	0.0133333
556	1110.325	2	0.00666667
557	1112.367	0	0
558	1114.409	3	0.01
559	1116.451	2	0.00666667
560	1118.493	3	0.01
561	1120.536	4	0.0133333
562	1122.578	3	0.01
563	1124.620	7	0.0233333
564	1126.662	5	0.0166667
565	1128.704	3	0.01
566	1130.746	2	0.00666667
567	1132.789	3	0.01
568	1134.831	4	0.0133333
569	1136.873	3	0.01
570	1138.915	3	0.01
571	1140.957	4	0.0133333
572	1142.999	3	0.01
573	1145.042	3	0.01
574	1147.084	5	0.0166667
575	1149.126	4	0.0133333
576	1151.168	2	0.00666667
577	1153.210	1	0.00333333
578	1155.252	5	0.0166667
579	1157.295	6	0.02
580	1159.337	5	0.0166667
581	1161.379	4	0.0133333
582	1163.421	3	0.01
583	1165.463	4	0.0133333
584	1167.505	5	0.0166667
585	1169.548	5	0.0166667
586	1171.590	1	0.00333333
587	1173.632	2	0.00666667
588	1175.674	4	0.0133333
589	1177.716	5	0.0166667
590	1179.758	3	0.01
591	1181.801	5	0.0166667
592	1183.843	5	0.0166667
593	1185.885	7	0.0233333
594	1187.927	4	0.0133333
595	1189.969	1	0.00333333
596	1192.011	4	0.0133333
597	1194.054	4	0.0133333
598	1196.096	3	0.01
599	1198.138	2	0.00666667
600	1200.180	2	0.00666667
601	1202.222	6	0.02
602	1204.264	2	0.00666667
603	1206.307	3	0.01
604	1208.349	2	0.00666667
605	1210.391	2	0.00666667
606	1212.433	3	0.01
607	1214.475	4	0.0133333
