#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2020-02-07, 13:34:20
# Real time (s): 530.628
# Live time (s): 300.000
#
# Total counts:  36992665
#
# Left marker:  237 (458.873 keV)
# Right marker: 274 (534.434 keV)
# Counts:  1173
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -25.120346
#     A1: 2.042167
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy	counts	rate
#-----------------------------------------------------------------------
430	853.012	25	0.0833333
431	855.054	11	0.0366667
432	857.096	14	0.0466667
433	859.138	16	0.0533333
434	861.180	9	0.03
435	863.222	13	0.0433333
436	865.265	6	0.02
437	867.307	10	0.0333333
438	869.349	10	0.0333333
439	871.391	9	0.03
440	873.433	8	0.0266667
441	875.475	7	0.0233333
442	877.518	5	0.0166667
443	879.560	13	0.0433333
444	881.602	5	0.0166667
445	883.644	10	0.0333333
446	885.686	8	0.0266667
447	887.728	11	0.0366667
448	889.771	9	0.03
449	891.813	8	0.0266667
450	893.855	12	0.04
451	895.897	3	0.01
452	897.939	10	0.0333333
453	899.981	7	0.0233333
454	902.024	9	0.03
455	904.066	6	0.02
456	906.108	9	0.03
457	908.150	5	0.0166667
458	910.192	9	0.03
459	912.235	6	0.02
460	914.277	8	0.0266667
461	916.319	10	0.0333333
462	918.361	6	0.02
463	920.403	8	0.0266667
464	922.445	5	0.0166667
465	924.488	9	0.03
466	926.530	3	0.01
467	928.572	6	0.02
468	930.614	9	0.03
469	932.656	8	0.0266667
470	934.698	6	0.02
471	936.741	6	0.02
472	938.783	4	0.0133333
473	940.825	3	0.01
474	942.867	9	0.03
475	944.909	8	0.0266667
476	946.951	11	0.0366667
477	948.994	7	0.0233333
478	951.036	6	0.02
479	953.078	4	0.0133333
480	955.120	4	0.0133333
481	957.162	13	0.0433333
482	959.204	4	0.0133333
483	961.247	4	0.0133333
484	963.289	3	0.01
485	965.331	7	0.0233333
486	967.373	4	0.0133333
487	969.415	9	0.03
488	971.457	6	0.02
489	973.500	9	0.03
490	975.542	11	0.0366667
491	977.584	8	0.0266667
492	979.626	5	0.0166667
493	981.668	15	0.05
494	983.710	15	0.05
495	985.753	15	0.05
496	987.795	10	0.0333333
497	989.837	10	0.0333333
498	991.879	9	0.03
499	993.921	16	0.0533333
500	995.963	17	0.0566667
501	998.006	17	0.0566667
502	1000.048	22	0.0733333
503	1002.090	22	0.0733333
504	1004.132	29	0.0966667
