#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2020-02-07, 13:56:12
# Real time (s): 551.195
# Live time (s): 300.000
#
# Total counts:  38592908
#
# Left marker:  237 (458.873 keV)
# Right marker: 274 (534.434 keV)
# Counts:  81372
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -25.120346
#     A1: 2.042167
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy	counts	rate
#-----------------------------------------------------------------------
451	895.897	2213	7.37667
452	897.939	2274	7.58
453	899.981	2189	7.29667
454	902.024	2256	7.52
455	904.066	2170	7.23333
456	906.108	2129	7.09667
457	908.150	2269	7.56333
458	910.192	2269	7.56333
459	912.235	2220	7.4
460	914.277	2159	7.19667
461	916.319	2195	7.31667
462	918.361	2253	7.51
463	920.403	2236	7.45333
464	922.445	2184	7.28
465	924.488	2356	7.85333
466	926.530	2195	7.31667
467	928.572	2149	7.16333
468	930.614	2313	7.71
469	932.656	2180	7.26667
470	934.698	2276	7.58667
471	936.741	2335	7.78333
472	938.783	2288	7.62667
473	940.825	2319	7.73
474	942.867	2236	7.45333
475	944.909	2261	7.53667
476	946.951	2278	7.59333
477	948.994	2176	7.25333
478	951.036	2220	7.4
479	953.078	2285	7.61667
480	955.120	2265	7.55
481	957.162	2328	7.76
482	959.204	2342	7.80667
483	961.247	2196	7.32
484	963.289	2292	7.64
485	965.331	2259	7.53
486	967.373	2384	7.94667
487	969.415	2269	7.56333
488	971.457	2437	8.12333
489	973.500	2334	7.78
490	975.542	2335	7.78333
491	977.584	2292	7.64
492	979.626	2363	7.87667
493	981.668	2336	7.78667
494	983.710	2398	7.99333
495	985.753	2359	7.86333
496	987.795	2293	7.64333
497	989.837	2350	7.83333
498	991.879	2351	7.83667
499	993.921	2309	7.69667
500	995.963	2270	7.56667
501	998.006	2454	8.18
502	1000.048	2424	8.08
503	1002.090	2421	8.07
504	1004.132	2330	7.76667
505	1006.174	2404	8.01333
506	1008.216	2355	7.85
507	1010.259	2467	8.22333
508	1012.301	2393	7.97667
509	1014.343	2488	8.29333
510	1016.385	2470	8.23333
511	1018.427	2493	8.31
512	1020.469	2536	8.45333
513	1022.512	2453	8.17667
514	1024.554	2307	7.69
515	1026.596	2460	8.2
516	1028.638	2468	8.22667
517	1030.680	2563	8.54333
518	1032.722	2496	8.32
519	1034.765	2457	8.19
520	1036.807	2546	8.48667
521	1038.849	2521	8.40333
522	1040.891	2538	8.46
523	1042.933	2524	8.41333
524	1044.975	2463	8.21
525	1047.018	2521	8.40333
526	1049.060	2487	8.29
527	1051.102	2476	8.25333
528	1053.144	2587	8.62333
529	1055.186	2555	8.51667
530	1057.228	2616	8.72
531	1059.271	2555	8.51667
532	1061.313	2706	9.02
533	1063.355	2561	8.53667
534	1065.397	2634	8.78
535	1067.439	2542	8.47333
536	1069.481	2680	8.93333
537	1071.524	2731	9.10333
538	1073.566	2698	8.99333
539	1075.608	2638	8.79333
540	1077.650	2678	8.92667
541	1079.692	2677	8.92333
542	1081.734	2780	9.26667
543	1083.777	2798	9.32667
544	1085.819	2699	8.99667
545	1087.861	2698	8.99333
546	1089.903	2654	8.84667
547	1091.945	2686	8.95333
548	1093.987	2816	9.38667
549	1096.030	2780	9.26667
550	1098.072	2742	9.14
551	1100.114	2726	9.08667
552	1102.156	2793	9.31
553	1104.198	2668	8.89333
554	1106.240	2741	9.13667
555	1108.283	2734	9.11333
556	1110.325	2682	8.94
557	1112.367	2727	9.09
558	1114.409	2731	9.10333
559	1116.451	2819	9.39667
560	1118.493	2769	9.23
561	1120.536	2707	9.02333
562	1122.578	2837	9.45667
563	1124.620	2950	9.83333
564	1126.662	2750	9.16667
565	1128.704	2797	9.32333
566	1130.746	2911	9.70333
567	1132.789	2744	9.14667
568	1134.831	2864	9.54667
569	1136.873	2861	9.53667
570	1138.915	2821	9.40333
571	1140.957	2759	9.19667
572	1142.999	2883	9.61
573	1145.042	2714	9.04667
574	1147.084	2857	9.52333
575	1149.126	2805	9.35
576	1151.168	2795	9.31667
577	1153.210	2770	9.23333
578	1155.252	2944	9.81333
579	1157.295	2722	9.07333
580	1159.337	2743	9.14333
581	1161.379	2694	8.98
582	1163.421	2826	9.42
583	1165.463	2733	9.11
584	1167.505	2630	8.76667
585	1169.548	2712	9.04
586	1171.590	2581	8.60333
587	1173.632	2635	8.78333
588	1175.674	2674	8.91333
589	1177.716	2534	8.44667
590	1179.758	2498	8.32667
591	1181.801	2489	8.29667
592	1183.843	2625	8.75
593	1185.885	2387	7.95667
594	1187.927	2439	8.13
595	1189.969	2371	7.90333
596	1192.011	2430	8.1
597	1194.054	2387	7.95667
598	1196.096	2340	7.8
599	1198.138	2271	7.57
600	1200.180	2215	7.38333
601	1202.222	2222	7.40667
602	1204.264	2301	7.67
603	1206.307	2231	7.43667
604	1208.349	2213	7.37667
605	1210.391	2131	7.10333
606	1212.433	2180	7.26667
607	1214.475	2129	7.09667
608	1216.517	2098	6.99333
609	1218.560	2042	6.80667
610	1220.602	2090	6.96667
611	1222.644	1971	6.57
612	1224.686	2069	6.89667
613	1226.728	1948	6.49333
614	1228.770	2015	6.71667
615	1230.813	1935	6.45
616	1232.855	2019	6.73
617	1234.897	1941	6.47
618	1236.939	1986	6.62
