#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2020-02-07, 13:22:19
# Real time (s): 535.334
# Live time (s): 300.000
#
# Total counts:  37052941
#
# Left marker:  237 (458.873 keV)
# Right marker: 274 (534.434 keV)
# Counts:  34545
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -25.120346
#     A1: 2.042167
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy	counts	rate
#-----------------------------------------------------------------------
295	577.319	869	2.89667
296	579.361	932	3.10667
297	581.403	993	3.31
298	583.446	966	3.22
299	585.488	980	3.26667
300	587.530	1058	3.52667
301	589.572	1066	3.55333
302	591.614	1136	3.78667
303	593.656	1275	4.25
304	595.699	1322	4.40667
305	597.741	1507	5.02333
306	599.783	1670	5.56667
307	601.825	1864	6.21333
308	603.867	2092	6.97333
309	605.909	2576	8.58667
310	607.952	2918	9.72667
311	609.994	3362	11.2067
312	612.036	3899	12.9967
313	614.078	4459	14.8633
314	616.120	5219	17.3967
315	618.162	5808	19.36
316	620.205	6706	22.3533
317	622.247	7689	25.63
318	624.289	8391	27.97
319	626.331	9402	31.34
320	628.373	10675	35.5833
321	630.415	11665	38.8833
322	632.458	12811	42.7033
323	634.500	14021	46.7367
324	636.542	14964	49.88
325	638.584	15948	53.16
326	640.626	17268	57.56
327	642.668	17801	59.3367
328	644.711	19059	63.53
329	646.753	19556	65.1867
330	648.795	19697	65.6567
331	650.837	20288	67.6267
332	652.879	20043	66.81
333	654.921	20318	67.7267
334	656.964	20181	67.27
335	659.006	19674	65.58
336	661.048	18940	63.1333
337	663.090	18340	61.1333
338	665.132	17621	58.7367
339	667.174	16606	55.3533
340	669.217	15315	51.05
341	671.259	14404	48.0133
342	673.301	13289	44.2967
343	675.343	11902	39.6733
344	677.385	10662	35.54
345	679.427	9529	31.7633
346	681.470	8322	27.74
347	683.512	7270	24.2333
348	685.554	6286	20.9533
349	687.596	5460	18.2
350	689.638	4633	15.4433
351	691.680	3908	13.0267
352	693.723	3210	10.7
353	695.765	2764	9.21333
354	697.807	2426	8.08667
355	699.849	2021	6.73667
356	701.891	1675	5.58333
357	703.933	1379	4.59667
358	705.976	1234	4.11333
359	708.018	1070	3.56667
360	710.060	965	3.21667
361	712.102	794	2.64667
362	714.144	775	2.58333
363	716.186	677	2.25667
364	718.229	727	2.42333
365	720.271	687	2.29
366	722.313	622	2.07333
367	724.355	643	2.14333
368	726.397	626	2.08667
369	728.439	594	1.98
370	730.482	598	1.99333
371	732.524	653	2.17667
372	734.566	573	1.91
373	736.608	616	2.05333
374	738.650	595	1.98333
375	740.692	578	1.92667
376	742.735	589	1.96333
377	744.777	635	2.11667
378	746.819	621	2.07
379	748.861	585	1.95
380	750.903	657	2.19
381	752.945	592	1.97333
382	754.988	596	1.98667
383	757.030	636	2.12
384	759.072	600	2
385	761.114	632	2.10667
386	763.156	643	2.14333
387	765.198	593	1.97667
388	767.241	592	1.97333
389	769.283	604	2.01333
390	771.325	611	2.03667
391	773.367	592	1.97333
392	775.409	580	1.93333
393	777.451	579	1.93
394	779.494	597	1.99
395	781.536	609	2.03
396	783.578	591	1.97
397	785.620	573	1.91
398	787.662	560	1.86667
399	789.704	591	1.97
400	791.747	551	1.83667
401	793.789	568	1.89333
402	795.831	581	1.93667
403	797.873	552	1.84
404	799.915	559	1.86333
405	801.957	539	1.79667
406	804.000	547	1.82333
407	806.042	538	1.79333
408	808.084	586	1.95333
409	810.126	526	1.75333
410	812.168	547	1.82333
411	814.210	559	1.86333
412	816.253	576	1.92
413	818.295	571	1.90333
414	820.337	527	1.75667
415	822.379	599	1.99667
416	824.421	570	1.9
