#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2019-09-13, 14:35:32
# Real time (s): 516.628
# Live time (s): 300.000
#
# Total counts:  33020397
#
# Left marker:  237 (458.873 keV)
# Right marker: 274 (534.434 keV)
# Counts:  881395
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -25.120346
#     A1: 2.042167
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy	counts	rate
#-----------------------------------------------------------------------
275	536.476	6549	21.83
276	538.518	6278	20.9267
277	540.560	6424	21.4133
278	542.602	6687	22.29
279	544.644	6889	22.9633
280	546.687	7015	23.3833
281	548.729	7322	24.4067
282	550.771	7614	25.38
283	552.813	8079	26.93
284	554.855	8571	28.57
285	556.897	8680	28.9333
286	558.940	9216	30.72
287	560.982	9575	31.9167
288	563.024	9545	31.8167
289	565.066	9725	32.4167
290	567.108	9877	32.9233
291	569.150	9710	32.3667
292	571.193	9635	32.1167
293	573.235	9559	31.8633
294	575.277	9302	31.0067
295	577.319	9093	30.31
296	579.361	8609	28.6967
297	581.403	7998	26.66
298	583.446	7502	25.0067
299	585.488	7054	23.5133
300	587.530	6264	20.88
301	589.572	5833	19.4433
302	591.614	5190	17.3
303	593.656	4653	15.51
304	595.699	4050	13.5
305	597.741	3642	12.14
306	599.783	3111	10.37
307	601.825	2740	9.13333
308	603.867	2464	8.21333
309	605.909	2185	7.28333
310	607.952	1987	6.62333
311	609.994	1788	5.96
312	612.036	1607	5.35667
313	614.078	1375	4.58333
314	616.120	1391	4.63667
315	618.162	1238	4.12667
316	620.205	1158	3.86
317	622.247	1184	3.94667
318	624.289	1037	3.45667
319	626.331	1058	3.52667
320	628.373	910	3.03333
321	630.415	820	2.73333
322	632.458	769	2.56333
323	634.500	779	2.59667
324	636.542	688	2.29333
325	638.584	597	1.99
326	640.626	533	1.77667
327	642.668	505	1.68333
328	644.711	454	1.51333
329	646.753	401	1.33667
330	648.795	368	1.22667
331	650.837	287	0.956667
332	652.879	251	0.836667
333	654.921	263	0.876667
334	656.964	234	0.78
335	659.006	240	0.8
336	661.048	182	0.606667
337	663.090	172	0.573333
338	665.132	160	0.533333
339	667.174	155	0.516667
340	669.217	155	0.516667
341	671.259	154	0.513333
342	673.301	147	0.49
343	675.343	143	0.476667
344	677.385	121	0.403333
345	679.427	142	0.473333
346	681.470	146	0.486667
347	683.512	126	0.42
348	685.554	109	0.363333
349	687.596	129	0.43
350	689.638	124	0.413333
351	691.680	133	0.443333
352	693.723	139	0.463333
353	695.765	121	0.403333
354	697.807	106	0.353333
355	699.849	124	0.413333
356	701.891	128	0.426667
357	703.933	102	0.34
358	705.976	114	0.38
359	708.018	85	0.283333
360	710.060	116	0.386667
361	712.102	102	0.34
362	714.144	99	0.33
363	716.186	93	0.31
364	718.229	94	0.313333
365	720.271	90	0.3
366	722.313	99	0.33
367	724.355	98	0.326667
368	726.397	82	0.273333
369	728.439	91	0.303333
370	730.482	88	0.293333
371	732.524	88	0.293333
372	734.566	77	0.256667
373	736.608	82	0.273333
374	738.650	74	0.246667
375	740.692	75	0.25
376	742.735	83	0.276667
377	744.777	89	0.296667
378	746.819	73	0.243333
379	748.861	66	0.22
380	750.903	81	0.27
381	752.945	80	0.266667
382	754.988	83	0.276667
383	757.030	78	0.26
384	759.072	91	0.303333
385	761.114	76	0.253333
386	763.156	83	0.276667
387	765.198	89	0.296667
388	767.241	83	0.276667
389	769.283	92	0.306667
390	771.325	80	0.266667
391	773.367	78	0.26
392	775.409	85	0.283333
393	777.451	97	0.323333
394	779.494	86	0.286667
395	781.536	101	0.336667
396	783.578	88	0.293333
397	785.620	103	0.343333
398	787.662	95	0.316667
399	789.704	85	0.283333
400	791.747	105	0.35
401	793.789	88	0.293333
402	795.831	110	0.366667
403	797.873	99	0.33
404	799.915	100	0.333333
405	801.957	100	0.333333
406	804.000	97	0.323333
407	806.042	106	0.353333
408	808.084	108	0.36
409	810.126	114	0.38
410	812.168	117	0.39
411	814.210	113	0.376667
412	816.253	108	0.36
413	818.295	97	0.323333
414	820.337	125	0.416667
415	822.379	104	0.346667
416	824.421	114	0.38
417	826.463	116	0.386667
418	828.506	121	0.403333
419	830.548	107	0.356667
420	832.590	124	0.413333
421	834.632	126	0.42
422	836.674	142	0.473333
423	838.716	111	0.37
424	840.759	124	0.413333
425	842.801	134	0.446667
426	844.843	147	0.49
427	846.885	134	0.446667
428	848.927	125	0.416667
429	850.969	125	0.416667
430	853.012	147	0.49
431	855.054	127	0.423333
432	857.096	131	0.436667
433	859.138	153	0.51
